,,,,,
Course ID,Title,Section,Lecturer,Schedule,Language
MBAN-720DE,Scholarship and Research,1,Antonakakis Nikolaos,Dist. Learning,English
MBAN-751DG,???????? ????????? ??????,1,Antonaras Alexandros,Dist. Learning,Greek
PHD-806S,Thesis,1,Antonaras Alexandros,Not Scheduled,English
MBAN-734DG,?????????? ?¹???????????? ???????,1,Antoniadou M.,Dist. Learning,Greek
ECON-262DL,Principles of Macroeconomics,1,Charalambidou Christiana,Dist. Learning,English
THOM-420,Tourism and Hospitality Law,1,Charalambous T.,Tu 12:00-15:00,English
TOUR-300,Tourism Planning and Development,1,Charalambous T.,Tu 09:00-12:00,English
ACCT-110,Accounting I,1,Charitou Melita,Tu 12:00-15:00,English
ACCT-110,Accounting I,2,Charitou Melita,We 15:00-18:00,English
ACCT-211,Managerial Accounting,1,Charitou Melita,We 12:00-15:00,English
ACCT-211,Managerial Accounting,2,Charitou Melita,Th 09:00-12:00,English
FIN-266,Managerial Finance,1,Charitou Melita,Tu 09:00-12:00,English
MBAN-660DG,???????? ??????????,1,Chatzinikolaou Dimos,Dist. Learning,Greek
MBAN-660DG,???????? ??????????,2,Chatzinikolaou Dimos,Dist. Learning,Greek
MBAN-660DG,???????? ??????????,3,Chatzinikolaou Dimos,Dist. Learning,Greek
MBAN-672DE,Globalization and International Business Challenges,1,Chatzinikolaou Dimos,Dist. Learning,English
MBAN-672DG,?????????¹????? ??? ???????? ?¹????????????? ??????????,2,Chatzinikolaou Dimos,Dist. Learning,Greek
MBAN-685DG,???????? ??????????,1,Chatzinikolaou Dimos,Dist. Learning,Greek
MBAN-760,"Thesis in Energy, Oil and Natural Gas",2,Chatzinikolaou Dimos,Not Scheduled,English
MBAN-766DE,Energy and Geopolitics,1,Chatzinikolaou Dimos,Dist. Learning,English
MBAN-766DG,???????? ??? ???¹???????,1,Chatzinikolaou Dimos,Dist. Learning,Greek
MBAN-770DG,???????? ??? ???????? ?????¹???? ?????????,3,Chatzinikolaou Dimos,Dist. Learning,Greek
MBAN-788DE,Entrepreneurship and Startup Management,1,Chatzinikolaou Dimos,Dist. Learning,English
BLOC-522DL,Smart Contract Programming,1,Christodoulou K.,Dist. Learning,English
BLOC-528DL,Token Economics,1,Christodoulou T.,Dist. Learning,English
BADM-439,Senior Simulation in Business (1st meeting: 27/02/2026),1,Christou M.,Fr 18:00-21:00,English
ECON-262,Principles of Macroeconomics,4,Christou M.,Mo 18:00-21:00,English
ECON-262,Principles of Macroeconomics,5,Christou M.,Mo 15:00-18:00,English
ECON-262,Principles of Macroeconomics,7,Christou M.,We 12:00-15:00,English
ECON-362,Intermediate Macroeconomics,1,Christou M.,Mo 12:00-15:00,English
ECON-390DL,Mathematics for Economics and Business,1,Christou M.,Dist. Learning,English
ECON-466,Managerial Economics,1,Christou M.,Mo 09:00-12:00,English
EDUD-255,?????? ????? ??? ???????? ??????? (classroom for theory: A21),1,Christou M.,Mo 18:00-21:00,Greek
FIN-215,Personal Finance,1,Christou M.,Tu 18:00-21:00,English
FIN-266,Managerial Finance,2,Christou M.,We 18:00-21:00,English
FIN-430,International Financial Management,1,Christou M.,We 15:00-18:00,English
FIN-440,Financial Analysis,1,Christou M.,We 09:00-12:00,English
SPRT-306,Sports Economics,1,Christou M.,Tu 15:00-18:00,English
SPSC-157G,????????? ??????????? (??¹??? ??? ?????),1,Christou M.,Tu 08:00-10:00 ; Tu 10:00-12:00,Greek
BADM-230,Business Law (section 03 for Accounting students only),1,Constantinou A.,Fr 15:00-18:00,English
BADM-230,Business Law (section 03 for Accounting students only),2,Constantinou A.,Th 18:00-21:00,English
MBAN-650DG,?????????? ??????????,3,Dekoulou Paraskevi,Dist. Learning,Greek
MBAN-740DG,???????? ??? ??????????,2,Dekoulou Paraskevi,Dist. Learning,Greek
MBAN-769,Employee Resourcing,1,Demetriou Gregoris,Fr 18:00-21:00,English
BLOC-551DL,Master Thesis,3,Dotsis G.,Not Scheduled,English
TOUR-450,Sustainable Tourism,1,Drousiotis P.,We 18:00-21:00,English
BADM-475,Strategy and Business Policy,1,Efthymiou Leonidas,Tu 09:00-12:00,English
BADM-475,Strategy and Business Policy,3,Efthymiou Leonidas,Tu 18:00-21:00,English
BADM-475DG,?????????? ??? ???????? ??? ?¹??????????,1,Efthymiou Leonidas,Dist. Learning,Greek
BADM-493,Final Year Project,6,Efthymiou Leonidas,Not Scheduled,English
HOSP-491,Thesis,3,Efthymiou Leonidas,Not Scheduled,English
MBAN-720,Scholarship and Research,1,Efthymiou Leonidas,We 18:00-21:00,English
MBAN-720DG,????? ??????????? ???????,1,Efthymiou Leonidas,Dist. Learning,Greek
MBAN-720DG,????? ??????????? ???????,2,Efthymiou Leonidas,Dist. Learning,Greek
MBAN-770DE,Thesis in HRM,1,Efthymiou Leonidas,Dist. Learning,English
MBAN-770DG,???????? ??? ???????? ?????¹???? ?????????,5,Efthymiou Leonidas,Dist. Learning,Greek
MBAN-780DG,???????? ??? ?¹???????????????? ??? ???? ??????? ??????????????,1,Efthymiou Leonidas,Dist. Learning,Greek
MGT-355DG,?????? ????? ???????????,1,Efthymiou Leonidas,Dist. Learning,Greek
MGT-355DL,Leadership in Organizations,1,Efthymiou Leonidas,Dist. Learning,English
THOM-450,Strategic Management in Hospitality and,1,Efthymiou Leonidas,Mo 15:00-18:00,English
TOUR-100,Airline and Travel Operations,1,Efthymiou Leonidas,Mo 09:00-12:00,English
TOUR-110,Geography of Travel and Tourism,1,Efthymiou Leonidas,Mo 12:00-15:00,English
TOUR-210,Cultural Geography,1,Efthymiou Leonidas,Tu 12:00-15:00,English
TOUR-470,Tourism and Transport,1,Efthymiou Leonidas,We 15:00-18:00,English
BADM-234,Organizational Behavior,2,Epaminonda Epaminondas,We 12:00-15:00,English
BADM-450,International Business,1,Epaminonda Epaminondas,Tu 18:00-21:00,English
MATH-221,Statistics I,2,Epaminonda Epaminondas,Mo 12:00-15:00,English
MBAN-672,Globalization and International Business,1,Epaminonda Epaminondas,Fr 18:00-21:00,English
PHD-806S,Thesis,5,Epaminonda Epaminondas,Not Scheduled,English
ACCT-111,Accounting II (sections 01 and 06 for the ACCOUNTING students),4,Georgiou Ifigenia,Th 15:00-18:00,English
MBAN-630,Financial and Managerial Accounting,1,Georgiou Ifigenia,We 18:00-21:00,English
ACCT-315,Auditing,1,Georgiou M.,Th 09:00-12:00,English
ACCT-360,Financial Reporting,1,Georgiou M.,Fr 09:00-12:00,English
ACCT-416,Advanced Auditing,1,Georgiou M.,Tu 15:00-18:00,English
ACCT-460,Advanced Financial Reporting,1,Georgiou M.,We 09:00-12:00,English
EDUB-110,???¹??????? ?????????,1,Georgiou M.,Mo 12:00-15:00,Greek
PSY-110,General Psychology I,1,Georgiou M.,Mo 09:00-12:00,English
PSY-110,General Psychology I,3,Georgiou M.,Tu 12:00-15:00,English
PSY-110DL,General Psychology I,1,Georgiou M.,Dist. Learning,English
